Customer_Age,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_M,Marital_Status_Married,Marital_Status_Single,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Attrition_Flag
0.4893617021276596,1.0,4,1,0.6046511627906976,0.4000000000000001,0.16666666666666666,0.6666666666666666,0.09461661481904729,0.0,0.13226900008692377,0.288195466588166,0.050183803052244624,0.1317829457364341,0.1926631195743489,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.5319148936170212,0.8,2,0,0.6744186046511628,0.4000000000000001,0.3333333333333333,0.5,1.0000000000000002,0.7004370282081843,0.9489177990901979,0.3726817780394466,0.05681185251197504,0.24031007751937986,0.29403528423410813,0.05105105105105105,1.0,0.0,1.0,0.0,0.0,0.0,1
0.25531914893617014,0.6000000000000001,2,2,0.34883720930232565,0.4000000000000001,0.16666666666666666,0.3333333333333333,0.09697469896637315,0.6674612634088201,0.08585170805203837,0.36443921106858995,0.09490921243177008,0.19379844961240308,0.18678241388966677,0.36236236236236236,1.0,1.0,0.0,0.0,0.0,0.0,1
0.6808510638297872,0.2,2,4,0.813953488372093,0.6000000000000001,0.5,0.16666666666666666,0.07197296063511066,0.7477155343663091,0.056036855677570774,0.2381513099793936,0.22295867216219228,0.4496124031007752,0.2489498739848782,0.49349349349349353,0.0,0.0,1.0,0.0,0.0,0.0,1
0.1914893617021276,0.8,2,2,0.2093023255813954,0.4000000000000001,0.5,0.5,0.22004855234795648,0.2856575288041319,0.23165184133514907,0.16367382984986756,0.08560766403029965,0.3798449612403101,0.1666199943993279,0.08208208208208209,1.0,0.0,1.0,0.0,0.0,0.0,1
0.23404255319148937,0.6000000000000001,3,4,0.2790697674418605,0.4000000000000001,0.3333333333333333,0.6666666666666666,0.025506610193574523,0.0,0.0660330889809637,0.2181336473358846,0.1237050239500947,0.4496124031007752,0.1845421450574069,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.12765957446808507,0.6000000000000001,2,0,0.16279069767441862,1.0000000000000002,0.3333333333333333,0.3333333333333333,0.3871399764796222,0.6646801748112833,0.36415263813635446,0.20576979687959965,0.12247967026846385,0.43410852713178294,0.1498179781573789,0.11711711711711713,1.0,0.0,1.0,0.0,0.0,0.0,1
0.3829787234042553,0.8,5,4,0.5348837209302325,1.0000000000000002,0.5,0.0,0.315641655858781,0.0,0.3441022223509982,0.21636738298498676,0.1648657680739668,0.4031007751937984,0.2626715205824699,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.7446808510638298,0.0,3,3,0.8604651162790699,0.6000000000000001,0.16666666666666666,0.5,0.041166707479661536,0.9725864123957092,0.010112131660533713,0.1616131881071534,0.0502951988414838,0.23255813953488372,0.13469616353962474,0.8748748748748749,1.0,1.0,0.0,0.0,0.0,0.0,1
0.5106382978723404,0.2,0,3,0.6046511627906976,0.6000000000000001,0.5,0.3333333333333333,0.13355523509796632,0.797377830750894,0.11143627039086722,0.21401236385045627,0.24429096580149273,0.5968992248062015,0.17978157378885468,0.3433433433433434,1.0,0.0,1.0,0.0,0.0,0.0,1
